id,web_name,first_name,second_name,team,element_type,now_cost,cost_change_start,cost_change_event,status,chance_of_playing_next_round,news,news_added,form,total_points,points_per_game,minutes,starts,selected_by_percent,transfers_in_event,transfers_out_event,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,defensive_contribution,defensive_contribution_per_90,penalties_order,corners_and_indirect_freekicks_order,direct_freekicks_order,value_season,ep_this,ep_next
319,Szmodics,Sam,Szmodics,12,3,50,0,0,u,0,Has joined Derby County on loan for the rest of the season,2026-08-17T13:51:41.713979Z,0.0,0,0.0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
320,Akpom,Chuba,Akpom,12,4,50,0,0,a,,,,1.5,6,3.0,69,0,1.2,1451,1241,1,0,0,4,0,0,0,0,33,34.6,1.7,19.0,5.5,0.97,0.00,0.97,1.27,0.0,1.27,5.27,3,3.91,,,,1.2,1.5,1.5
321,Walle Egeli,Sindre,Walle Egeli,12,4,45,0,0,a,,,,0.2,1,1.0,10,0,3.5,3174,2206,0,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.27,0,0.0,,,,0.2,0.2,0.2
322,Al-Hamadi,Ali,Al-Hamadi,12,4,50,0,0,u,0,Has joined Sheffield Wednesday on loan for the rest of the season,2026-08-27T14:54:10.215357Z,0.0,0,0.0,0,0,0.1,0,65,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
323,McAteer,Kasey,McAteer,12,3,45,0,0,a,,,,0.8,3,1.0,42,0,1.2,176,866,0,0,0,0,0,0,0,0,12,4.6,1.8,7.0,1.4,0.05,0.00,0.05,0.11,0.0,0.11,0.45,5,10.71,,,,0.7,0.8,0.8
324,Mehmeti,Anis,Mehmeti,12,3,49,-1,0,a,,,,0.0,0,0.0,0,0,0.0,5,25,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
554,Van Oevelen,Kayne,van Oevelen,12,1,45,0,0,u,0,Has joined Valencia on loan for the rest of the season,2026-08-25T14:04:09.529320Z,0.0,0,0.0,0,0,0.0,0,12,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
562,Maeda,Daizen,Maeda,12,3,54,-1,0,a,,,,1.8,7,1.8,243,3,0.3,19,330,0,0,0,8,0,0,0,0,27,28.8,2.9,43.0,7.4,0.71,0.01,0.72,0.26,0.0,0.26,2.06,19,7.04,,,,1.3,1.8,1.8
564,Scherpen,Kjell,Scherpen,12,1,45,0,0,a,,,,1.8,7,1.8,360,4,0.6,149,149,0,0,0,10,0,0,15,0,40,88.6,0.0,0.0,8.8,0.00,0.01,0.01,0.0,0.0,0.0,1.68,0,0.0,,,,1.6,1.8,1.8
571,Florentino,Florentino Ibrain,Morris Luís,12,3,49,-1,0,a,100,,2026-08-25T11:30:07.678802Z,0.2,1,1.0,13,0,0.1,10,39,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.0,0.07,0.07,1.87,2,13.85,,,,0.2,0.2,0.2
